Wells: 384
Plates:2
Plate	Well	Content
1	*	sample
1	[A-D]01	sicon1
1	[E-H]01	sicon2
1	[I-L]01	allstar
1	[M-P]01	PLK1
1	[A]02	sicon1
1	[B]02	empty
1	[C]02	sicon1
1	[D]02	empty
1	[E]02	sicon2
1	[F]02	empty
1	[G]02	sicon2
1	[H]02	empty
1	[I]02	allstar
1	[J]02	empty
1	[K]02	allstar
1	[L]02	empty
1	[M]02	plk1
1	[N]02	empty
1	[O]02	plk1
1	[P]02	empty
1	[B]04	empty
1	[D]04	empty
1	[F]04	empty
1	[H]04	empty
1	[J]04	empty
1	[L]04	empty
1	[N]04	empty
1	[P]04	empty
1	[B]06	empty
1	[D]06	empty
1	[F]06	empty
1	[H]06	empty
1	[J]06	empty
1	[L]06	empty
1	[N]06	empty
1	[P]06	empty
1	[B]08	empty
1	[D]08	empty
1	[F]08	empty
1	[H]08	empty
1	[J]08	empty
1	[L]08	empty
1	[N]08	empty
1	[P]08	empty
1	[B]10	empty
1	[D]10	empty
1	[F]10	empty
1	[H]10	empty
1	[J]10	empty
1	[L]10	empty
1	[N]10	empty
1	[P]10	empty
1	[B]12	empty
1	[D]12	empty
1	[F]12	empty
1	[H]12	empty
1	[J]12	empty
1	[L]12	empty
1	[N]12	empty
1	[P]12	empty
1	[B]14	empty
1	[D]14	empty
1	[F]14	empty
1	[H]14	empty
1	[J]14	empty
1	[L]14	empty
1	[N]14	empty
1	[P]14	empty
1	[B]16	empty
1	[D]16	empty
1	[F]16	empty
1	[H]16	empty
1	[J]16	empty
1	[L]16	empty
1	[N]16	empty
1	[P]16	empty
1	[B]18	empty
1	[D]18	empty
1	[F]18	empty
1	[H]18	empty
1	[J]18	empty
1	[L]18	empty
1	[N]18	empty
1	[P]18	empty
1	[B]20	empty
1	[D]20	empty
1	[F]20	empty
1	[H]20	empty
1	[J]20	empty
1	[L]20	empty
1	[N]20	empty
1	[P]20	empty
1	[B]22	empty
1	[D]22	empty
1	[F]22	empty
1	[H]22	empty
1	[J]22	empty
1	[L]22	empty
1	[N]22	empty
1	[P]22	empty
1	[A-D]23	sicon1
1	[E-H]23	sicon2
1	[I-L]23	allstar
1	[M-P]23	plk1
1	[A]24	sicon1
1	[B]24	empty
1	[C]24	sicon1
1	[D]24	empty
1	[E]24	sicon2
1	[F]24	empty
1	[G]24	sicon2
1	[H]24	empty
1	[I]24	allstar
1	[J]24	empty
1	[K]24	allstar
1	[L]24	empty
1	[M]24	plk1
1	[N]24	empty
1	[O]24	plk1
1	[P]24	empty
2	*	sample
2	[A-D]01	sicon1
2	[E-H]01	sicon2
2	[I-L]01	allstar
2	[M-P]01	PLK1
2	[A]02	sicon1
2	[B]02	empty
2	[C]02	sicon1
2	[D]02	empty
2	[E]02	sicon2
2	[F]02	empty
2	[G]02	sicon2
2	[H]02	empty
2	[I]02	allstar
2	[J]02	empty
2	[K]02	allstar
2	[L]02	empty
2	[M]02	plk1
2	[N]02	empty
2	[O]02	plk1
2	[P]02	empty
2	[P]03	empty
2	[B]04	empty
2	[D]04	empty
2	[F]04	empty
2	[H]04	empty
2	[J]04	empty
2	[L]04	empty
2	[N]04	empty
2	[P]04	empty
2	[P]05	empty
2	[B]06	empty
2	[D]06	empty
2	[F]06	empty
2	[H]06	empty
2	[J]06	empty
2	[L]06	empty
2	[N]06	empty
2	[P]06	empty
2	[P]07	empty
2	[B]08	empty
2	[D]08	empty
2	[F]08	empty
2	[H]08	empty
2	[J]08	empty
2	[L]08	empty
2	[N]08	empty
2	[P]08	empty
2	[N]09	empty
2	[P]09	empty
2	[B]10	empty
2	[D]10	empty
2	[F]10	empty
2	[H]10	empty
2	[J]10	empty
2	[L]10	empty
2	[N]10	empty
2	[P]10	empty
2	[N]11	empty
2	[P]11	empty
2	[B]12	empty
2	[D]12	empty
2	[F]12	empty
2	[H]12	empty
2	[J]12	empty
2	[L]12	empty
2	[N]12	empty
2	[P]12	empty
2	[N]13	empty
2	[P]13	empty
2	[B]14	empty
2	[D]14	empty
2	[F]14	empty
2	[H]14	empty
2	[J]14	empty
2	[L]14	empty
2	[N]14	empty
2	[P]14	empty
2	[N]15	empty
2	[P]15	empty
2	[B]16	empty
2	[D]16	empty
2	[F]16	empty
2	[H]16	empty
2	[J]16	empty
2	[L]16	empty
2	[N]16	empty
2	[P]16	empty
2	[N]17	empty
2	[P]17	empty
2	[B]18	empty
2	[D]18	empty
2	[F]18	empty
2	[H]18	empty
2	[J]18	empty
2	[L]18	empty
2	[N]18	empty
2	[P]18	empty
2	[N]19	empty
2	[P]19	empty
2	[B]20	empty
2	[D]20	empty
2	[F]20	empty
2	[H]20	empty
2	[J]20	empty
2	[L]20	empty
2	[N]20	empty
2	[P]20	empty
2	[N]21	empty
2	[P]21	empty
2	[B]22	empty
2	[D]22	empty
2	[F]22	empty
2	[H]22	empty
2	[J]22	empty
2	[L]22	empty
2	[N]22	empty
2	[P]22	empty
2	[A-D]23	sicon1
2	[E-H]23	sicon2
2	[I-L]23	allstar
2	[M-P]23	plk1
2	[A]24	sicon1
2	[B]24	empty
2	[C]24	sicon1
2	[D]24	empty
2	[E]24	sicon2
2	[F]24	empty
2	[G]24	sicon2
2	[H]24	empty
2	[I]24	allstar
2	[J]24	empty
2	[K]24	allstar
2	[L]24	empty
2	[M]24	plk1
2	[N]24	empty
2	[O]24	plk1
2	[P]24	empty	
