Plate	Well	GeneID	Entrez_gene_ID	sublib

1	A01			

1	A02			

1	A03	RAD50	10111	DDR2

1	A04	FAM175A	84142	DDR2

1	A05	POLE2	5427	DDR2

1	A06	TRIM28	10155	DDR2

1	A07	RUVBL2	10856	DDR2

1	A08	PAPD7	11044	DDR2

1	A09	PRKCG	5582	DDR2

1	A10	BRCC3	79184	DDR2

1	A11	FANCC	2176	DDR2

1	A12	POLG2	11232	DDR2

1	A13	FEN1	2237	DDR2

1	A14	DCLRE1A	9937	DDR2

1	A15	TCEA1	6917	DDR2

1	A16	UVRAG	7405	DDR2

1	A17	RTEL1	51750	DDR2

1	A18	TREX2	11219	DDR2

1	A19	KAT2A	2648	DDR2

1	A20	KAT5	10524	DDR2

1	A21	APTX	54840	DDR2

1	A22	RECQL	5965	DDR2

1	A23			

1	A24			

1	B01			

1	B02			

1	B03	RECQL4	9401	DDR2

1	B04	REV1	51455	DDR2

1	B05	RDM1	201299	DDR2

1	B06	ENDOV	284131	DDR2

1	B07	MLH3	27030	DDR2

1	B08	FAN1	22909	DDR2

1	B09	CIB1	10519	DDR2

1	B10	MPLKIP	136647	DDR2

1	B11	BTG2	7832	DDR2

1	B12	RAD51D	5892	DDR2

1	B13	MPG	4350	DDR2

1	B14	CDK12	51755	DDR2

1	B15	TNP1	7141	DDR2

1	B16	FAAP20	199990	DDR2

1	B17	MSH2	4436	DDR2

1	B18	FAAP24	91442	DDR2

1	B19	RAD51	5888	DDR2

1	B20	SLX1B	79008	DDR2

1	B21	RAD1	5810	DDR2

1	B22	RAD51B	5890	DDR2

1	B23			

1	B24			

1	C01			

1	C02			

1	C03	RAD18	56852	DDR2

1	C04	CHEK2	11200	DDR2

1	C05	TDP2	51567	DDR2

1	C06	NUDT1	4521	DDR2

1	C07	GTF2H5	404672	DDR2

1	C08	MBD4	8930	DDR2

1	C09	POLE	5426	DDR2

1	C10	RNF168	165918	DDR2

1	C11	UBE2B	7320	DDR2

1	C12	PRPF19	27339	DDR2

1	C13	MDC1	9656	DDR2

1	C14	MTOR	2475	DDR2

1	C15	IP6K3	117283	DDR2

1	C16	RAD23B	5887	DDR2

1	C17	SIRT1	23411	DDR2

1	C18	ATXN3	4287	DDR2

1	C19	TREX1	11277	DDR2

1	C20	DCLRE1C	64421	DDR2

1	C21	WRN	7486	DDR2

1	C22	CETN2	1069	DDR2

1	C23			

1	C24			

1	D01			

1	D02			

1	D03	PALB2	79728	DDR2

1	D04	SLX4	84464	DDR2

1	D05	FAN1	22909	DDR2

1	D06	NUDT15	55270	DDR2

