Plate	Well	GeneID	Entrez_gene_ID	sublib
1	A01			WNT
1	A02			WNT
1	A03	SH3BP2	6452	WNT
1	A04	EPHB2	2048	WNT
1	A05	ACTB	60	WNT
1	A06	EPHB3	2049	WNT
1	A07	AES	166	WNT
1	A08	FAT1	2195	WNT
1	A09	AJUBA	84962	WNT
1	A10	FNBP1	23048	WNT
1	A11	AMER1	139285	WNT
1	A12	FBXW11	23291	WNT
1	A13	AMOT	154796	WNT
1	A14	FGF18	8817	WNT
1	A15	APC	324	WNT
1	A16	FGF2	2247	WNT
1	A17	APC2	10297	WNT
1	A18	FGF20	26281	WNT
1	A19	APCDD1	147495	WNT
1	A20	FGF9	2254	WNT
1	A21	ARHGAP4	393	WNT
1	A22	FGFR4	2264	WNT
1	A23			WNT
1	A24			WNT
1	B01			WNT
1	B02			WNT
1	B03	MSL1	339287	WNT
1	B04	RSPO1	284654	WNT
1	B05	MST1R	4486	WNT
1	B06	RSPO2	340419	WNT
1	B07	MTOR	2475	WNT
1	B08	RSPO3	84870	WNT
1	B09	MYC	4609	WNT
1	B10	RSPO4	343637	WNT
1	B11	MYCBP	26292	WNT
1	B12	RUNX2	860	WNT
1	B13	MYF5	4617	WNT
1	B14	RUVBL1	8607	WNT
1	B15	MYOD1	4654	WNT
1	B16	RYK	6259	WNT
1	B17	NANOG	79923	WNT
1	B18	SENP2	59343	WNT
1	B19	NDP	4693	WNT
1	B20	SFRP1	6422	WNT
1	B21	NES	10763	WNT
1	B22	SFRP2	6423	WNT
1	B23			WNT
1	B24			WNT
1	C01			WNT
1	C02			WNT
1	C03	ARRB2	409	WNT
1	C04	FKBP1A	2280	WNT
1	C05	ASCL2	430	WNT
1	C06	FLNA	2316	WNT
1	C07	ATM	472	WNT
1	C08	FN1	2335	WNT
1	C09	ATOH1	474	WNT
1	C10	FOS	2353	WNT
1	C11	AXIN1	8312	WNT
1	C12	FOSL1	8061	WNT
1	C13	AXIN2	8313	WNT
1	C14	FOXN1	8456	WNT
1	C15	BAMBI	25805	WNT
1	C16	FOXO1	2308	WNT
1	C17	BCL9	607	WNT
1	C18	FRAT1	10023	WNT
1	C19	BCL9L	283149	WNT
1	C20	FRAT2	23401	WNT
1	C21	BDNF	627	WNT
1	C22	FRZB	2487	WNT
1	C23			WNT
1	C24			WNT
1	D01			WNT
1	D02			WNT
1	D03	NFATC1	4772	WNT
1	D04	SFRP4	6424	WNT
1	D05	NFATC2	4773	WNT
1	D06	SFRP5	6425	WNT
1	D07	NFATC3	4775	WNT
1	D08	SIAH1	6477	WNT
1	D09	NFATC4	4776	WNT
